timestamp_utc,event_type,instrument,units,nav,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json,response_json
2026-04-09 12:18:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,11410,100000.0,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 0, ""GBP_USD"": 0, ""USD_JPY"": 0}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 11410, ""timestamp_utc"": ""2026-04-09 12:18:00+00:00""}"
2026-04-09 12:18:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,9936,100000.0,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11410, ""GBP_USD"": 0, ""USD_JPY"": 0}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 9936, ""timestamp_utc"": ""2026-04-09 12:18:00+00:00""}"
2026-04-09 12:18:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,13333,100000.0,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 0}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": 13333, ""timestamp_utc"": ""2026-04-09 12:18:00+00:00""}"
2026-04-09 12:19:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,1,99998.42918465084,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11410, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11411, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 1, ""GBP_USD"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:19:00+00:00""}"
2026-04-09 12:19:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,1,99998.42918465084,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11411, ""GBP_USD"": 9936, ""USD_JPY"": 13333}","{""EUR_USD"": 11411, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 1, ""GBP_USD"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:19:00+00:00""}"
2026-04-09 12:20:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,1,99997.00927752959,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11411, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:20:00+00:00""}"
2026-04-09 12:20:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,1,99997.00927752959,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11412, ""GBP_USD"": 9937, ""USD_JPY"": 13333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:20:00+00:00""}"
2026-04-09 12:20:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-1,99997.00927752959,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:20:00+00:00""}"
2026-04-09 12:21:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,1,99993.51307283876,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11412, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 11413, ""GBP_USD"": 9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:21:00+00:00""}"
2026-04-09 12:21:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,1,99993.51307283876,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": 1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": 11413, ""GBP_USD"": 9938, ""USD_JPY"": 13332}","{""EUR_USD"": 11413, ""GBP_USD"": 9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:21:00+00:00""}"
