Date,META,AAPL,AMZN,NFLX,GOOGL
2020-01-02,209.78,72.4683,94.9005,32.981,68.1868
2020-01-03,208.67,71.7661,93.7485,32.59,67.8302
2020-01-06,212.6,72.3337,95.144,33.583,69.6381
2020-01-07,213.06,71.997,95.343,33.075,69.5035
2020-01-08,215.22,73.1541,94.5985,33.926,69.9983
2020-01-09,218.3,74.7105,95.0525,33.566,70.733
2020-01-10,218.06,74.8745,94.158,32.905,71.1899
2020-01-13,221.91,76.4775,94.565,33.892,71.7415
2020-01-14,219.06,75.4434,93.472,33.869,71.2711
2020-01-15,221.15,75.1183,93.101,33.907,71.7
2020-01-16,221.77,76.06,93.897,33.862,72.2461
2020-01-17,222.14,76.9037,93.236,33.967,73.7088
2020-01-21,221.44,76.3821,94.6,33.811,73.8448
2020-01-22,221.32,76.6543,94.373,32.6,73.9405
2020-01-23,219.76,77.0225,94.229,34.96,73.9663
2020-01-24,217.94,76.8008,93.082,35.316,73.0438
2020-01-27,214.87,74.5445,91.417,34.288,71.3279
2020-01-28,217.79,76.6523,92.6625,34.852,72.2631
2020-01-29,223.23,78.256,92.9,34.316,72.5719
2020-01-30,209.53,78.142,93.534,34.774,72.4499
2020-01-31,201.91,74.6821,100.436,34.509,71.3803
2020-02-03,204.19,74.4748,100.21,35.8,73.8622
2020-02-04,209.83,76.9331,102.484,36.901,72.0094
2020-02-05,210.11,77.5568,101.994,36.967,72.0413
2020-02-06,210.85,78.4673,102.512,36.695,73.5319
2020-02-07,212.33,77.4008,103.964,36.677,73.6883
2020-02-10,213.06,77.7672,106.696,37.107,75.1606
2020-02-11,207.19,77.3015,107.54,37.369,75.2303
2020-02-12,210.76,79.134,108.0,38.001,75.6573
2020-02-13,213.14,78.5703,107.494,38.14,75.3962
2020-02-14,214.18,78.59,106.744,38.04,75.6622
2020-02-18,217.8,77.1521,107.784,38.778,75.6975
2020-02-19,217.49,78.2679,108.511,38.619,75.9681
2020-02-20,214.58,77.4674,107.655,38.6,75.5755
2020-02-21,210.18,75.7114,104.798,38.007,73.9051
2020-02-24,200.72,72.1157,100.464,36.87,70.7365
2020-02-25,196.77,69.6713,98.637,36.009,69.0655
